ID,YearQrtr,Asset Growth Rate ,Gross Loans/ Assets ,Deposit Growth Rate ,Loans/ Deposits ,Interest Income/ Avg Assets ,Interest Expense/ Average Assets ,Net Interest Income/ Avg Assets ,Noninterest Income/ Average Assets ,Net Interest Margin ,Yield/ Cost Spread ,Operating Expense/ Operating Revenue ,Risk Based Capital Ratio ,Equity/ Assets ,Reserves/ NPAs ,Yield on Loans and Leases ,Cost of Funds , Change in Assets , Change in Deposits ,Net Chargeoffs/ Avg Loans ,Yield on Earning Assets ,Cost of Interest-bearing Liabilities ,Yield/ Cost Spread ,Yield on Securities & Other Assets ,Yield on Debt and Equity Securities ,Yield on Other Assets ,Cost of Int-bearing Deposits ,Cost of Borrowings ,Cost of Time Deposits > $250K ,Cost of Other Time Deposits ,Earning Assets/ IBL ,Liquidity Ratio ,Liquid Assets/ Assets ,One Year Gap/ Assets ,Asset-weighted Securities & Other Yield ,Asset-weighted Loan Yield ,Asset-weighted Securities Yield ,Liab-weigh Cost of Int-bear Dep ,Liability-wtd Borrowing Cost ,Asset-weighted Other Asset Yield ,ROAA ,U.S.Avg Rate _1Yr10K_CD,U.S.Avg Rate _5Yr10K_CD
BNk28,2007Q1,1.5,89.19,5.75,109.13,6.82,3.86,2.97,0.74,3.1,2.62,58.92,11.67,7.29,246.71,7.35,4.19,0.37,1.44,0.29,7.12,4.5,2.62,4.07,3.82,5,4.59,3.91,5.05,5.19,109.81,7.52,6.97,-31.03,0.28,6.84,0.23,3.99,0.51,0.05,1.24,4.95,
BNk29,2007Q1,18.18,70.05,22.56,86.45,6.46,3.66,2.79,1.17,2.97,2.65,84.91,10.58,5.48,140.02,7.48,3.9,4.55,5.64,0.01,6.87,4.22,2.65,5.09,4.85,10,4.22,4.23,4.07,5.47,107.1,7.72,7.3,-42.59,1.27,5.61,1.16,3.59,0.63,0.1,0.42,4.95,4.8
BNk30,2007Q1,5.64,55.81,7.49,64.32,5.25,3.28,1.97,0.12,2.04,1.73,87.38,17.96,8.93,563.69,6.2,3.61,1.41,1.87,0,5.44,3.71,1.73,4.39,4.22,5.27,3.69,4.19,4.91,4.3,108.89,43.46,39.58,-35.22,1.84,3.6,1.49,3.52,0.2,0.35,0.2,,
BNk31,2007Q1,14.28,72.15,12.53,100.74,6.69,3.39,3.3,0.27,3.69,3.76,28.28,14.87,7.65,63.85,8.12,3.69,3.57,3.13,-0.02,7.49,3.73,3.76,5.51,5.83,4.88,3.65,4.05,5.16,5.2,107.14,16.64,15.37,39.81,1.32,6.17,0.93,2.92,0.81,0.39,2.62,4,4.75
BNk32,2007Q1,-2.11,69.59,1.14,83.46,6.4,2.73,3.67,1.76,4,3.65,69.27,12.08,8.02,446.35,7.77,2.94,-0.53,0.29,0.18,6.98,3.33,3.65,4.53,4.2,7.5,3.3,3.64,5.23,4.37,112.86,11.92,10.97,5.5,1.09,5.91,0.92,2.97,0.36,0.15,0.67,,
BNk33,2007Q1,17.72,45.38,5.57,59.93,5.86,2.66,3.19,0.9,3.32,2.94,64.07,20.59,9.9,367.9,7.8,2.65,4.43,1.39,0.17,6.08,3.14,2.94,4.5,4.57,3.75,2.98,4.03,5.01,4.66,129.1,23.91,21.54,-16.97,2.34,3.74,2.19,2.53,0.6,0.15,1.32,,
BNk34,2007Q1,13.69,66.82,15.35,73.3,6.68,2.05,4.63,1.46,5.18,4.32,74.47,12.48,7.1,221.48,8.23,1.86,3.42,3.84,-0.02,7.47,3.15,4.32,5.02,4.16,30,3.22,0.17,4.15,4,194.33,26.39,24.51,5.9,1.2,6.25,0.92,3.16,0,0.3,1.48,4.29,
BNk35,2007Q1,-0.23,62.44,16.86,81.92,5.6,3.75,1.85,0.17,1.92,,64.66,13.13,,,6.25,4.2,-0.06,4.22,0,5.81,4.17,,4.95,4.74,20.37,4,4.84,4.78,4.64,105.11,32.36,30.14,-19.31,1.69,4.12,1.6,,,0.09,0.6,5.1,4.65
BNk36,2007Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNk37,2007Q1,-8.21,85.53,-6.41,97.43,7,2.85,4.15,0.94,4.44,3.99,84.13,12.08,7.77,267.23,7.99,3.11,-2.05,-1.6,-0.98,7.47,3.49,3.99,3.42,,-0.51,3.31,6.79,,,113.6,10.61,9.78,,0.38,7.11,,3.14,0.34,0.36,1.25,4.6,4.75
BNk38,2007Q1,-36.48,66.97,-37.46,78.68,7.06,4.31,2.76,2.86,2.83,2.17,136.22,22.15,13.54,97.14,8.54,5.06,-9.12,-9.37,0.2,7.26,5.09,2.17,5.16,,-1.28,5.09,,,,114.59,35.6,30.78,,1.96,5.29,,5.09,,1.97,-1.2,,
BNk39,2007Q1,5.05,69.25,-1.64,89.99,6.11,2.44,3.67,1.12,4.02,3.4,54.42,17.74,12.27,200.37,7.41,2.76,1.26,-0.41,-0.02,6.7,3.3,3.4,4.37,4.16,3.5,3.06,4.7,4.67,3.99,125.87,15.57,13.66,16.93,1.01,5.71,0.92,2.64,0.66,0.07,1.39,,
