ID,YearQrtr,Asset Growth Rate ,Gross Loans/ Assets ,Deposit Growth Rate ,Loans/ Deposits ,Interest Income/ Avg Assets ,Interest Expense/ Average Assets ,Net Interest Income/ Avg Assets ,Noninterest Income/ Average Assets ,Net Interest Margin ,Yield/ Cost Spread ,Operating Expense/ Operating Revenue ,Risk Based Capital Ratio ,Equity/ Assets ,Reserves/ NPAs ,Yield on Loans and Leases ,Cost of Funds , Change in Assets , Change in Deposits ,Net Chargeoffs/ Avg Loans ,Yield on Earning Assets ,Cost of Interest-bearing Liabilities ,Yield/ Cost Spread ,Yield on Securities & Other Assets ,Yield on Debt and Equity Securities ,Yield on Other Assets ,Cost of Int-bearing Deposits ,Cost of Borrowings ,Cost of Time Deposits > $250K ,Cost of Other Time Deposits ,Earning Assets/ IBL ,Liquidity Ratio ,Liquid Assets/ Assets ,One Year Gap/ Assets ,Asset-weighted Securities & Other Yield ,Asset-weighted Loan Yield ,Asset-weighted Securities Yield ,Liab-weigh Cost of Int-bear Dep ,Liability-wtd Borrowing Cost ,Asset-weighted Other Asset Yield ,ROAA ,U.S.Avg Rate _1Yr10K_CD,U.S.Avg Rate _5Yr10K_CD
BNk259,2009Q1,9.22,66.77,-2.97,88.61,5.05,1.52,3.53,0.63,3.78,3.55,61.13,14.78,9.48,105.37,6.27,1.74,2.3,-0.74,0.91,5.41,1.86,3.55,3.2,3.61,0.35,1.95,1.37,2.84,3.09,112.93,7.83,7.09,-12.71,0.9,4.51,0.89,1.64,0.22,0.01,0.87,1.76,2.75
BNk260,2009Q1,1.82,66.25,4.96,82.52,5.46,1.86,3.61,0.76,3.97,3.83,65.66,11.72,6.08,231.8,6.77,1.96,0.45,1.24,0.33,6.01,2.18,3.83,3.98,4.12,1.96,1.85,3.73,2.29,2.5,108.21,18.39,17.27,-2.82,1.09,4.92,1.05,1.53,0.65,0.04,0.87,1.26,2.52
BNk261,2009Q1,20.28,66.01,28.69,84.43,5.05,2.43,2.63,0.6,2.85,2.75,73.88,13.77,6.77,66.75,5.98,2.63,5.07,7.17,0.32,5.49,2.73,2.75,4.11,,9.64,2.42,4.32,,,105.67,30.42,28.36,,1.07,4.43,,2.01,0.73,1.06,0.54,,
BNk262,2009Q1,1.47,81.53,,105.46,4.64,1.58,3.06,1.54,3.72,3.9,98.96,,7.81,14.92,5.64,1.74,,,,5.64,1.74,3.9,,,,1.9,,,,,,,,,,,,,,-0.17,,
BNk263,2009Q1,3.14,75.98,6.88,99.06,5.04,3.32,1.72,0.19,1.79,1.57,92.89,10.03,6.62,210.76,5.59,3.6,0.78,1.72,0.01,5.23,3.66,1.57,3.76,4.58,0.23,3.58,4.03,4.07,4,104.43,6.81,6.36,-32.24,0.74,4.5,0.73,2.92,0.74,0.01,0.1,,
BNk264,2009Q1,-8.99,76.96,9.14,120.46,5.06,1.05,4.01,0.99,4.14,3.85,66.46,13.89,7.74,121.45,5.38,1.12,-2.25,2.29,2.61,5.21,1.36,3.85,4.6,5.07,0.85,1.66,0.95,2.1,2.47,128.07,3.29,3.03,1.92,0.99,4.23,0.97,0.97,0.4,0.02,-7.06,,
BNk265,2009Q1,44.56,55.91,68.41,74.97,4.95,1.87,3.08,0.62,3.22,3.05,73.61,11.96,6.33,37.23,5.52,1.88,11.14,17.1,0.24,5.18,2.13,3.05,4.63,4.79,1.25,1.79,3.34,3.33,3.19,115.48,17.64,16.53,-14.44,1.77,3.41,1.75,1.4,0.73,0.02,0.36,,
BNk266,2009Q1,67.28,72.93,34.82,91.97,4.82,2.18,2.65,0.86,2.79,2.52,85.82,12.93,8.39,28.06,5.51,2.39,16.82,8.71,0.06,5.09,2.57,2.52,3.39,4.12,0.32,2.56,2.7,3.65,3.37,111.27,19.43,17.8,-1.82,0.67,4.42,0.66,2.24,0.33,0.01,0.5,,
BNk267,2009Q1,-7.3,58.03,-10.02,74.38,4.38,2.34,2.04,0.04,2.09,1.5,57.23,63.02,21.5,202.62,5.64,2.98,-1.83,-2.5,0,4.48,2.98,1.5,2.77,,-1.16,2.98,,,,125.13,52.15,40.94,,1.11,3.38,,2.98,,1.1,0.56,,
BNk268,2009Q1,-3.25,81.68,4.29,121.28,5.12,2.44,2.68,0.31,2.78,2.45,77.12,12.94,8.48,77.68,5.74,2.65,-0.81,1.07,0.32,5.31,2.86,2.45,2.54,3.99,0.05,2.42,3.95,3.34,3.05,111.57,14.56,13.33,-8.72,0.34,4.96,0.34,1.73,1.13,0,0.25,,
BNk269,2009Q1,5.07,58.7,4.41,69.92,4.88,2.2,2.68,0.26,2.8,2.57,63.81,22.55,9.34,,5.79,2.44,1.27,1.1,0,5.09,2.52,2.57,3.95,,,2.36,4.7,,,109.45,42.86,38.86,,1.5,3.59,,2.19,0.33,1.5,0.78,2.4,
BNk270,2009Q1,23.03,70.31,7.55,108.56,6.3,1.55,4.76,-8.86,5.83,5.71,-161.52,12.75,8.1,108.67,9.78,1.8,5.76,1.89,0.42,7.72,2.01,5.71,1.2,,5.8,1.37,3.88,,,108.31,15.01,13.8,,0.29,7.43,,1.01,1.01,0.29,-8.86,1.5,2.5
BNk271,2009Q1,9.65,75.03,1.87,95.15,5.19,2.33,2.86,0.52,3.04,2.92,68.68,14.86,8.54,35.68,5.93,2.54,2.41,0.47,0.94,5.52,2.6,2.92,3.84,4.06,0.14,2.51,3.15,3.32,3.22,105.45,11.22,10.26,-3.65,0.76,4.76,0.76,2.17,0.43,0,0.34,2.02,2.53
BNk272,2009Q1,11.53,57.37,-51.75,81.98,3.99,0.41,3.6,-0.35,4.15,1.21,207.39,50.44,28.29,6.17,6.09,0.54,2.88,-12.94,0,4.61,3.4,1.21,1.11,,-1.48,3.4,,,,,43.3,31.05,,0.33,4.26,,3.4,,0.35,-9.3,,
BNk273,2009Q1,10.2,72.8,17.51,135.25,5.09,2.69,2.44,0.3,2.63,2.39,60.79,15.88,9.71,41.9,5.65,3.01,2.55,4.38,0.04,5.48,3.09,2.39,4.78,,-0.17,2.24,4.29,,,104.27,24.91,22.49,,0.91,4.58,,1.32,1.76,0.9,0.46,1.65,3
BNk274,2009Q1,-6.63,71.88,-6.34,93.39,4.78,1.05,3.73,0.87,4.08,3.92,66.02,14.47,13.65,36.37,5.3,1.09,-1.66,-1.58,1.71,5.22,1.3,3.92,4.92,4.77,6.21,1.25,1.89,2.06,3.19,129.92,9.43,8.14,11.05,1.02,4.2,0.89,1.16,0.14,0.14,0.2,1.91,2.77
BNk275,2009Q1,1.4,76.9,0.44,89.1,5.66,2.21,3.45,0.02,4.25,4.42,107.07,20.62,13.26,17.81,7.3,2.55,0.35,0.11,0,6.97,2.55,4.42,0.48,,-0.33,2.55,,,,93.62,9,7.81,,0.02,6.94,,2.55,,0.03,-0.28,,
BNk276,2009Q1,-0.91,71.81,-0.49,115.59,3.37,1.07,2.3,1.23,2.47,2.09,66.66,15.36,10.59,75.68,3.65,1.21,-0.23,-0.12,1.26,3.61,1.53,2.09,3.49,4.41,0.16,1.7,1.23,2.24,3.09,136.73,15.38,13.75,23.07,0.71,2.91,0.7,1.07,0.46,0.01,0.06,1,1.78
BNk277,2009Q1,9.68,63.67,32.88,81.97,4.49,1.02,3.47,2.21,3.68,3.56,63.69,12.42,8.95,140.09,5.07,1.02,2.42,8.22,1.21,4.75,1.19,3.56,3.98,4.78,0.44,1.09,1.77,2.23,2.8,136.06,17.74,16.15,14.44,1.15,3.6,1.13,0.93,0.27,0.02,0.72,1.36,2.15
BNk278,2009Q1,4.49,62.94,58.89,86.4,5.27,1.71,3.56,1.39,3.79,3.32,68.41,11.37,5.94,60.7,6.15,2.2,1.12,14.72,0.24,5.61,2.29,3.32,4.44,4.57,1.72,2.21,2.45,2.22,2.62,102.33,11.84,11.14,-4.98,1.41,4.2,1.38,1.47,0.82,0.03,1.69,2.65,3.2
BNk279,2009Q1,21.3,69.82,26.52,82.08,5.7,1.9,3.81,0.67,4.01,3.91,73.59,10.66,6.34,76.91,6.45,1.82,5.32,6.63,0.05,6.01,2.1,3.91,4.68,4.61,5.91,2.04,2.65,3.27,2.84,118.07,19.79,18.54,6.4,1.17,4.83,1.09,1.86,0.24,0.08,0.9,1.51,
BNk280,2009Q1,32.77,79.45,42.22,101.39,4.97,2.36,2.63,0.79,2.9,2.47,81.14,16.05,10.9,55.97,5.81,2.67,8.19,10.56,0.03,5.49,3.02,2.47,2.61,,26,2.92,3.6,,,114.51,16.02,14.28,,0.26,5.23,,2.52,0.5,0.26,0.27,2.15,2.8
BNk281,2009Q1,8.45,77,9.35,88.37,4.84,1.69,3.14,0.92,3.3,3.11,68.32,11.11,8.67,178.75,5.68,1.71,2.11,2.34,0.19,5.07,1.96,3.11,2.36,2.99,0.44,1.9,3.31,3.23,3.09,119.55,14.61,13.35,9.44,0.44,4.64,0.42,1.82,0.14,0.02,0.97,1.41,3.08
BNk282,2009Q1,2.49,81.42,10.86,105.6,4.94,1.53,3.4,1.23,3.64,3.45,84.06,10.06,5.11,105.99,5.47,1.63,0.62,2.71,0.13,5.28,1.83,3.45,4.02,4.17,2.84,1.95,1.42,3.4,2.48,108.76,2.77,2.63,-13.56,0.54,4.74,0.5,1.5,0.33,0.04,0.56,1.68,2.85
BNk283,2009Q1,-16.44,71.36,-10.64,108.78,4.9,2.31,2.59,0.23,2.78,2.56,88.72,15.24,8.54,178.52,5.9,2.53,-4.11,-2.66,0,5.25,2.69,2.56,3.27,,-0.65,2.32,3.54,,,109.19,26,23.78,,0.82,4.43,,1.62,1.06,0.82,0.77,2.1,
BNk284,2009Q1,14.59,73.5,15.21,86.72,5.16,2.22,2.94,0.56,3.3,3.29,78.41,11.24,6.11,43.95,6.3,2.32,3.65,3.8,0.21,5.79,2.5,3.29,3.04,3.36,1.75,2.38,3.36,3.25,3.14,104.79,18.71,17.56,-9.57,0.47,5.32,0.42,2.09,0.41,0.05,0.42,2.04,2.92
BNk285,2009Q1,16.11,70.37,18.31,79.74,5.72,2.25,3.47,0.55,3.63,3.22,70.91,14.12,10.07,47.03,6.71,2.54,4.03,4.58,0.44,5.99,2.77,3.22,3.77,4.41,0.52,2.74,10.37,3.83,3.59,115.06,18.78,16.89,-3.16,0.93,5.06,0.91,2.73,0.03,0.02,0.67,,
BNk286,2009Q1,11.61,58.6,17.44,80.79,4.84,1.76,3.08,1.56,3.54,3.31,69.19,12.74,10.28,241.25,5.96,1.93,2.9,4.36,0.34,5.55,2.24,3.31,4.64,4.7,3.23,1.74,3.88,2.95,2.96,116.96,19.71,17.68,-13.09,1.43,4.12,1.39,1.33,0.91,0.04,0.8,1.45,2.75
BNk287,2009Q1,131.39,60.75,148.34,75.32,5.03,2.31,2.72,7.36,3.05,2.65,28.91,18.44,12.77,19.88,6.58,2.89,32.85,37.09,0.5,5.64,2.99,2.65,3.9,4.33,1.25,3.01,2.64,2.73,4.16,108.05,31.91,27.83,-27.24,1.37,4.27,1.31,2.87,0.13,0.06,3.53,2.52,3.29
BNk288,2009Q1,8.75,73.91,33.4,85.29,4.88,2.52,2.35,1.32,2.53,2.25,106.71,9.4,5.79,24.13,5.55,2.85,2.19,8.35,0.49,5.24,2.99,2.25,3.92,4.64,0.81,3.02,2.78,3.93,3.62,104.85,14.31,13.49,0.77,0.73,4.51,0.7,2.69,0.3,0.03,-0.67,,
BNk289,2009Q1,-16.53,60.76,-2.43,70.27,4.93,2.66,2.27,1.1,2.56,2.54,123.26,12.87,5.44,27.37,5.86,2.76,-4.13,-0.61,1.95,5.55,3.02,2.54,4.83,4.91,0.47,3.03,2.91,3.09,4.45,99.68,28.61,27.06,-19.88,1.45,4.11,1.44,2.65,0.37,0,-0.75,,
BNk290,2009Q1,3.57,64.15,14.29,79.96,5.09,2.13,2.96,0.64,3.34,2.94,64.77,23.36,15.09,1.29,6.6,2.56,0.89,3.57,0.19,5.73,2.79,2.94,3.35,,-0.87,2.76,3.33,,,115.84,37.66,31.98,,0.9,4.82,,2.62,0.17,0.91,0.63,,
BNk291,2009Q1,4.99,58.89,9.95,63.46,6.24,3.3,2.94,-28.43,3,2.68,-9.08,9.6,6.98,33.11,8.35,3.58,1.25,2.49,0,6.36,3.68,2.68,3.31,,-2,3.68,,,,108.75,43.57,40.53,,1.32,5.01,,3.68,,1.35,-29.07,1.75,3
BNk292,2009Q1,13.09,77.07,21.86,103.04,5.09,2.26,2.82,0.28,3.03,2.71,69.67,14.54,9.18,79.7,5.85,2.54,3.27,5.46,0.01,5.46,2.75,2.71,3.9,4.32,1.08,2.6,3.4,3.35,3.37,113.92,7.04,6.39,-1.16,0.78,4.68,0.75,2.11,0.64,0.03,0.42,1.8,2.65
BNk293,2009Q1,23.82,78.02,35.64,118.26,5.52,2.18,3.42,1,3.77,3.33,85.87,24.41,12.92,29.07,6.47,2.54,5.95,8.91,0,6.1,2.77,3.33,3.45,,-0.37,2.38,3.84,,,115.07,18.8,16.37,,0.41,5.69,,1.74,1.04,0.41,0.62,,
BNk294,2009Q1,1.95,71.72,3.11,86.33,4.94,2.21,2.73,0.08,2.89,2.54,90.12,36.04,16.4,6.19,5.78,2.67,0.49,0.78,0.01,5.23,2.69,2.54,3.47,4.23,0.28,2.69,,3.76,3.78,113.24,30.41,25.42,-16.37,0.83,4.41,0.81,2.69,,0.01,0.19,,
BNk295,2009Q1,9.1,77.4,8.85,98.12,5.04,1.77,3.28,1.37,3.49,2.96,68.11,14.31,10.32,56.06,5.81,1.99,2.27,2.21,0.37,5.38,2.41,2.96,3.12,4.23,1.13,2.33,2.96,3.38,2.97,124.67,9.38,8.41,13.33,0.5,4.88,0.43,2.02,0.39,0.07,0.88,1.95,2.32
BNk296,2009Q1,0.31,44.49,-12.7,52.85,5.96,3.07,2.88,-0.58,2.96,2.62,67.73,22.83,8.09,16.31,5.97,3.34,0.08,-3.18,0,6.12,3.5,2.62,6.24,6.59,0,3.72,0.66,3.87,4.57,110.14,56.79,52.19,1.41,3.43,2.69,3.43,3.46,0.05,0,0.8,,
BNk297,2009Q1,18.79,71.39,33.69,83.4,5.13,2.18,2.95,0.26,3.26,3.12,75.41,18.73,7.99,40.9,6,2.43,4.7,8.42,0.16,5.68,2.56,3.12,4.4,5.02,1.36,2.44,3.96,3.59,3.28,112.92,27.3,25.12,-2.46,0.88,4.79,0.84,2.26,0.29,0.05,0.51,,
BNk298,2009Q1,5.36,59.55,9.8,87.27,5.06,1.9,3.17,0.78,3.39,3.09,85.61,18.26,9.75,78.42,5.74,2.11,1.34,2.45,0.01,5.43,2.34,3.09,4.84,5,0.08,1.79,3.85,3,2.93,114.86,31.66,28.57,-18.97,1.7,3.73,1.7,1.31,1.02,0,0.4,1.25,2.57
BNk299,2009Q1,38.2,60.48,66.01,88.24,4.51,2.1,2.41,0.3,2.76,2.55,73.95,11.83,7.98,74.52,5.35,2.5,9.55,16.5,0.53,5.17,2.62,2.55,4.66,4.46,,2.08,3.85,2.36,3.11,103.87,18.81,17.31,-64.98,1.23,3.94,1.17,1.44,1.18,0.06,0.3,2.5,
BNk300,2009Q1,7.19,65.73,13,80.87,4.93,1.66,3.27,0.47,3.52,3.13,97.2,17.26,10.09,37.13,5.97,1.85,1.8,3.25,0,5.3,2.17,3.13,3.45,4.78,0.19,1.93,4.09,2.81,2.48,120.29,30.8,27.69,3.73,0.92,4.38,0.9,1.72,0.45,0.01,0.09,2,3
BNk301,2009Q1,7.89,78.81,9.53,114.33,4.98,2.16,2.83,0.86,2.99,2.84,56.77,12.69,8.02,40.14,5.53,2.34,1.97,2.38,0.1,5.26,2.42,2.84,3.82,4.74,0.11,2,3.6,2.53,3.41,104.32,15.85,14.58,-9.92,0.6,4.66,0.6,1.48,0.93,0,0.61,1.85,2.5
BNk302,2009Q1,-4.13,85.65,-6.94,101.86,4.57,2.4,2.17,0.12,2.29,2.06,82.93,10.77,8.33,20.33,5.04,2.62,-1.03,-1.73,-0.14,4.82,2.76,2.06,2.58,,11.5,2.75,2.94,,,108.96,11.33,10.39,,0.23,4.59,,2.53,0.24,0.23,0.56,,
BNk303,2009Q1,0.03,47.91,2.23,61.88,5.13,2.04,3.09,0.64,3.27,2.87,69.4,11.5,6.76,114.89,6.35,2.24,0.01,0.56,0.06,5.44,2.57,2.87,4.5,5.14,0.69,2.27,3.76,3.12,3.46,113.21,24.93,23.25,-2,2.21,3.23,2.16,1.82,0.74,0.05,-1.11,,
BNk304,2009Q1,3.68,59.05,16.01,100.09,5.24,2.09,3.15,0.36,3.22,2.81,73.92,20.48,10.73,53.65,5.73,2.33,0.92,4,0.15,5.36,2.55,2.81,4.81,5.12,0.03,2.18,3.19,2.63,2.89,115.99,21.77,19.44,-34.87,1.9,3.46,1.9,1.38,1.17,0,0.58,2,2
BNk305,2009Q1,9.22,0,-14.42,0,3.79,0.01,3.78,65.22,4.34,3.71,99.57,204.91,93.16,,,0.64,2.31,-3.61,0,4.35,0.64,3.71,4.35,,15.54,0.64,,,,,,87.72,,4.35,0,,0.64,,4.35,0.34,,
BNk306,2009Q1,,87.06,,101.81,5.3,3.22,2.08,0.65,2.13,,49.76,9.94,5.83,73.39,5.65,3.7,,,0,5.43,,,3.28,3.98,0.2,3.59,,,,109.16,6.87,6.47,3.86,0.31,5.12,0.3,,,0,0.64,2.25,3.25
BNk307,2009Q1,20.13,62.22,21.3,67.57,5.15,1.82,3.33,0.32,3.43,3.13,93.48,17.67,6.96,207.81,6.39,1.98,5.03,5.32,0,5.29,2.17,3.13,3.15,,-1.1,2.17,,,,116.35,38.82,36.12,,1.07,4.22,,2.17,,1.07,0.14,,
BNk308,2009Q1,17.62,52.25,20.78,65.75,4.32,0.89,3.51,0.25,3.65,3.33,74.12,54.35,20.03,69.7,6.13,1.12,4.4,5.2,0,4.5,1.17,3.33,2.49,,-1.63,1.17,,,,126.77,56.36,45.07,,1.12,3.37,,1.17,,1.13,0.65,,
BNk309,2009Q1,11.26,83.41,22.86,106.46,5.17,2.19,3.01,0.5,3.22,2.98,76.16,11.58,7,,5.66,2.39,2.81,5.71,0,5.54,2.56,2.98,4.56,,-0.12,2.28,3.92,,,109.67,12.23,11.37,,0.5,5.04,,1.9,0.67,0.5,0.56,2.1,3.25
BNk310,2009Q1,13.68,68.26,16.8,78.48,4.93,1.67,3.26,0.58,4.01,3.8,63.86,14.24,9.86,54.99,6.38,2.04,3.42,4.2,0.85,6.06,2.27,3.8,4.94,6.12,0.42,2.2,3.83,3.6,3.4,114.1,25.83,23.29,-0.77,1.08,4.98,1.06,2.11,0.16,0.02,0.95,1.8,1.8
BNk311,2009Q1,14.37,64.09,15.89,69.32,4.56,1.53,3.03,0.37,3.16,3.01,72.7,13.42,7.27,117.34,5.86,1.66,3.59,3.97,0,4.75,1.74,3.01,2.62,,29.33,1.74,,,,109.08,36.49,33.83,,0.89,3.87,,1.74,,0.88,0.55,2.15,2.9
BNk312,2009Q1,-18.59,73.8,-16.66,94.43,4.12,2.53,1.59,0.24,1.66,1.47,108.3,13.54,9.24,21.78,4.88,2.61,-4.65,-4.16,5.12,4.31,2.84,1.47,2.18,2.37,0.34,2.6,4.24,3.5,2.69,113.95,8.35,7.58,-0.06,0.46,3.85,0.45,2.21,0.63,0.01,-1.3,,
BNk313,2009Q1,6.94,57.07,16.23,72.61,4.18,0.66,3.52,1.86,4.13,4.08,63.96,12.98,11.71,88.72,4.98,0.61,1.74,4.06,0.26,4.9,0.83,4.08,4.73,5.03,1.11,0.63,2.28,2.05,2.32,149.98,24.1,21.28,26.02,1.45,3.45,1.42,0.56,0.26,0.03,1.21,1.5,
BNk314,2009Q1,-5.68,78.65,1.93,124.39,5.56,2.7,2.86,0.48,3.14,2.92,64.07,17.63,12.17,44.08,6.48,3.09,-1.42,0.48,0,6.1,3.17,2.92,3.88,,,2.81,4.08,,,106.94,15.82,13.89,,0.58,5.51,,1.99,1.18,0.59,-0.64,2,2.25
BNk315,2009Q1,9.26,59.12,11.3,70.51,4.97,2.44,2.53,0.94,2.62,2.37,51.98,19.94,9.85,50.56,6.08,2.73,2.32,2.83,0,5.15,2.78,2.37,3.59,,8.8,2.74,3.42,,,111.7,43.89,39.57,,1.33,3.83,,2.58,0.21,1.32,0.94,,
BNk316,2009Q1,18.02,45.01,23.29,53.82,3.86,1.11,2.75,0.71,3.33,3.28,69.28,18.39,10.72,,5.15,1.18,4.5,5.82,0.14,4.67,1.38,3.28,3.92,3.91,4.38,1.36,1.66,2.52,2.86,119.22,49.14,43.87,-15.62,1.53,3.13,1.5,1.25,0.14,0.03,0.91,1.56,2.42
BNk317,2009Q1,-14.15,57,30.94,96.66,4.8,1.44,3.36,0.56,3.72,3.25,50.17,15.98,9.76,115.96,5.69,1.59,-3.54,7.73,1.17,5.32,2.06,3.25,4.79,4.8,0.24,1.17,2.94,1.4,1.72,138.56,2.24,2.02,-20.41,1.98,3.34,1.98,0.57,1.49,0,0.8,1.56,1.66
BNk318,2009Q1,23.07,67.15,24.15,88.18,6.03,2.95,3.1,0.63,3.31,3.09,81.14,12.96,7.03,57.99,7.13,3.19,5.77,6.04,0.01,6.45,3.35,3.09,4.55,,12.5,3.07,4.6,,,106.25,30.24,28.11,,1.23,5.2,,2.49,0.87,1.25,0.35,,
BNk319,2009Q1,-13.79,0,0,0,3.39,0.08,3.31,73.93,3.97,3.26,102.45,242.18,80.39,,,0.8,-3.45,0,0,4.06,0.8,3.26,4.06,,4.06,0.8,,,,832.6,425.66,83.49,,4.06,0,,0.8,,4.06,-1.18,,
BNk320,2009Q1,10.42,77.82,5.61,93.09,5.67,2,3.68,0.93,3.92,3.46,69.82,14.45,8.78,38.24,6.44,2.16,2.6,1.4,1.48,6.04,2.58,3.46,3.86,4.74,0.23,2.58,2.59,3.9,3.16,122.85,8.48,7.74,9.86,0.59,5.46,0.58,2.32,0.26,0.01,0.03,,
BNk321,2009Q1,-4.1,79.72,-2.49,91.95,5.41,1.95,3.45,0.79,3.74,3.32,66.27,11.26,9.51,74.01,6.4,2.16,-1.02,-0.62,0.58,5.85,2.53,3.32,2.99,3.49,0.55,2.48,3.93,3.39,3.53,120.49,7.01,6.35,6.09,0.48,5.37,0.47,2.38,0.15,0.02,0.75,2,3
BNk322,2009Q1,-4.7,52.95,-11.41,82.23,5.24,2.33,2.92,0.27,3.18,2.93,80.07,23.54,7.9,15.76,6.58,2.54,-1.17,-2.85,-0.03,5.7,2.77,2.93,4.5,,-0.88,2.32,3.76,,,107.05,45.34,41.76,,1.89,3.82,,1.57,1.2,1.88,0.38,,
BNk323,2009Q1,-28.53,8.7,-29.56,202.75,1.62,0.78,0.85,0.94,0.97,0.97,82.75,-12.4,0.37,16.78,1.99,0.87,-7.13,-7.39,0.22,1.85,0.88,0.97,1.84,1.27,1.85,0.42,0.89,2.94,,113.78,84.29,83.91,-17.75,1.73,0.13,0.01,0.01,0.87,1.72,0.06,,
BNk324,2009Q1,11.76,76.76,32.44,105.37,4.89,2,2.89,1.13,3.19,2.88,83.83,12,7.14,57.35,5.64,2.17,2.94,8.11,0.63,5.4,2.52,2.88,3.94,4.53,0.47,1.79,4.55,3.13,2.78,111.94,17.85,16.58,-9.21,0.55,4.85,0.54,1.32,1.19,0.01,0.12,,
BNk325,2009Q1,9.62,87.06,13.36,115.97,4.9,1.38,3.56,-0.04,3.73,3.23,61.96,41.57,24.3,12.81,5.53,1.84,2.41,3.34,0,5.14,1.91,3.23,0.09,,-0.39,1.91,,,,131.95,11.43,8.65,,0.01,5.14,,1.91,,0,0.28,,
BNk326,2009Q1,4.47,78.78,9.81,101.2,5.34,2.58,2.76,0.27,3.05,2.88,68.91,17.68,11.68,24.91,6.12,2.97,1.12,2.45,0,5.91,3.03,2.88,4.4,,-0.21,2.94,3.67,,,105.55,16.51,14.58,,0.53,5.39,,2.62,0.4,0.52,0.72,,
BNk327,2009Q1,15.09,72.16,19.08,85.98,4.87,2.18,2.69,0.31,2.79,2.53,74.51,15.53,7.94,59.93,5.48,2.43,3.77,4.77,0.04,5.06,2.53,2.53,3.8,4.87,0.34,2.39,4.09,3.49,3.53,108.22,25.45,23.43,-10.52,0.96,4.1,0.94,2.2,0.33,0.02,0.5,1.76,2.78
BNk328,2009Q1,-15.14,80.41,2.26,111.36,5.32,2.47,2.92,0.44,3.4,3.4,82.43,11.3,6.83,27.53,6.52,2.66,-3.79,0.56,0.03,6.19,2.79,3.4,2.06,,13,2.4,3.98,,,100.94,9.3,8.67,,0.14,6.06,,1.8,1,0.13,0.36,,
BNk329,2009Q1,1.05,84.19,0.15,101.08,5.41,2.15,3.26,1.11,3.35,2.67,70.1,10.58,8.18,83.52,5.85,2.33,0.26,0.04,0.04,5.55,2.89,2.67,3.62,3.95,0.36,2.8,3.53,3.62,3.41,128.87,9.11,8.37,-6.63,0.48,5.07,0.48,2.46,0.43,0,0.59,,
BNk330,2009Q1,-0.34,80.1,31.23,115.88,4.97,2.65,2.32,0.13,2.4,2.19,51.86,11.17,8.7,46,5.39,2.84,-0.08,7.81,0.6,5.13,2.94,2.19,3.56,3.85,0.35,2.94,2.94,3.83,4.25,109.43,5.11,4.66,-18.5,0.51,4.63,0.5,2.19,0.75,0,0.31,,
BNk331,2009Q1,-14.62,74.92,-17.74,102.21,5.51,1.78,3.72,0.39,3.97,3.61,65.45,18.09,12.8,40.08,6.11,2.04,-3.65,-4.43,1.44,5.87,2.26,3.61,5,5.11,1.93,2.14,2.9,3.49,3.09,116.83,22.03,19.21,15.04,1.05,4.82,1.03,1.79,0.48,0.01,0.24,,
BNk332,2009Q1,38.86,40.65,51.27,49.26,4.93,1.94,2.99,1.04,2.98,2.47,68.89,20.88,10.55,,6.3,2.28,9.72,12.82,-0.01,4.91,2.44,2.47,3.53,4.62,0.11,2.34,3.56,2.92,3.58,110.85,49.97,44.7,-16.68,1.77,3.14,1.76,2.15,0.29,0.01,0.78,,
BNk333,2009Q1,-5.32,88.72,-8.45,121.18,5.3,2.57,2.73,0.41,2.8,2.47,68.9,11.51,9.34,50.91,5.54,2.74,-1.33,-2.11,0.08,5.44,2.96,2.47,4,3.9,19.44,2.72,3.9,2.66,3.78,111.75,2.67,2.42,11.47,0.26,5.18,0.25,2.16,0.8,0.01,0.3,2.5,2.84
BNk334,2009Q1,-10.25,69.78,-20.09,87.43,3.87,2.31,1.56,2.86,1.63,1.23,71.38,16.26,11.92,38.51,4.98,2.53,-2.56,-5.02,2.34,4.06,2.82,1.23,1.57,4.04,0.31,2.73,3.75,3.74,3.65,122.4,25.88,22.79,6.25,0.43,3.63,0.37,2.5,0.32,0.06,-2.74,1.79,2.5
BNk335,2009Q1,-7.44,79.72,-9.35,118.74,5.19,2.21,2.98,0.87,3.11,2.63,67.23,11.64,7.92,49.14,5.9,2.44,-1.86,-2.34,0,5.41,2.78,2.63,3,3.3,0,1.83,5.03,3.41,3.34,115.47,15.36,14.14,-11.9,0.51,4.91,0.51,1.29,1.5,0,-0.1,1.75,3.25
BNk336,2009Q1,-1.56,81.88,5.98,135.42,5.15,2.6,2.59,-0.15,2.74,2.55,55.38,11.85,8.92,139.97,5.87,2.89,-0.39,1.49,0.19,5.46,2.91,2.55,2.82,,17.5,2.38,3.94,,,105.67,14.12,12.86,,0.37,5.11,,1.57,1.34,0.35,0.56,1.25,3.5
BNk337,2009Q1,1.02,40.63,-11.35,63.85,4.1,1.93,2.17,0.49,2.33,2.17,65.28,11.82,6.56,151.81,4.33,2.13,0.26,-2.84,0.64,4.4,2.22,2.17,4.45,4.72,1.84,1.52,3.76,1.87,2.12,103.33,25.95,24.25,-24.82,2.48,1.92,2.38,1.04,1.19,0.1,0.36,,
